state,year,month,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,Coal,Solar,Total Generation,Wind
Haryana,2024,10,30.501290322580644,19.831612903225807,66.68161290322581,3.2700000000000005,1368.385,70.055,2849.2,0.0
Haryana,2024,11,26.994,15.483,55.576,0.0,1018.04,63.965,2139.93,0.0
Haryana,2024,12,21.605483870967745,9.409354838709678,48.31870967741936,37.02,1188.245,63.575,2479.1,0.0
Haryana,2025,1,21.46,6.33,46.11,0.0,1225.845,63.505,2554.07,0.0
Himachal Pradesh,2024,1,18.47741935483871,6.459032258064516,48.84806451612903,4.87,0.0,2.395,1313.59,0.0
Himachal Pradesh,2024,2,19.007241379310347,6.543793103448277,51.49586206896552,68.45,0.0,2.275,1272.71,0.0
Himachal Pradesh,2024,3,24.636129032258065,11.800645161290324,50.02516129032258,90.42,0.0,3.135,1737.41,0.0
Himachal Pradesh,2024,4,30.43133333333333,16.933,40.737,34.86,0.0,3.22,2172.64,0.0
Himachal Pradesh,2024,5,36.84129032258064,22.23032258064516,30.298709677419357,14.37,0.0,4.3100000000000005,5145.62,0.0
Himachal Pradesh,2024,6,38.68366666666667,25.82033333333333,33.58266666666667,76.63,0.0,3.945,5982.79,0.0
Himachal Pradesh,2024,7,32.36967741935484,24.687419354838703,74.36451612903227,311.23,0.0,3.87,6703.35,0.0
Himachal Pradesh,2024,8,28.37451612903226,23.182258064516127,86.81612903225808,369.98,0.0,3.665,6491.89,0.0
Himachal Pradesh,2024,9,28.27133333333333,21.526,85.119,204.77,0.0,3.28,5530.53,0.0
Himachal Pradesh,2024,10,27.227096774193548,17.91741935483871,66.88000000000001,2.3200000000000003,0.0,3.985,3144.83,0.0
Himachal Pradesh,2024,11,23.92866666666667,13.733,55.822,0.0,0.0,5.23,1815.73,0.0
Himachal Pradesh,2024,12,19.24870967741936,7.418064516129032,47.60903225806452,40.97,0.0,4.390000000000001,1530.68,0.0
Himachal Pradesh,2025,1,19.01,5.68,43.98,0.0,0.0,4.505,1225.48,0.0
Jharkhand,2024,1,22.261612903225807,8.488064516129032,61.89387096774194,4.5,1677.015,0.76,3263.77,0.0
Jharkhand,2024,2,26.571724137931035,12.102413793103448,54.71896551724138,37.63,1552.465,0.76,3013.36,0.0
Jharkhand,2024,3,31.131612903225808,16.25032258064516,46.31548387096774,46.36,1673.6850000000002,0.76,3254.72,0.0
Jharkhand,2024,4,37.66466666666667,22.587333333333333,30.782333333333334,5.75,1785.265,0.755,3480.66,0.0
Jharkhand,2024,5,38.98806451612904,24.606129032258064,36.91161290322581,40.03,1868.57,0.755,3652.67,0.0
Jharkhand,2024,6,38.63166666666667,26.524,48.79933333333334,160.68,1727.15,0.755,3363.29,0.0
Jharkhand,2024,7,31.043548387096774,24.048387096774192,83.88129032258065,266.55,1797.305,0.755,3506.67,0.0
Jharkhand,2024,8,28.63258064516129,23.345161290322583,89.9932258064516,463.52,1638.29,0.76,3227.38,0.0
Jharkhand,2024,9,28.182,22.979666666666667,91.06533333333331,395.65,1496.83,0.76,2962.64,0.0
Jharkhand,2024,10,27.73516129032258,20.274838709677415,86.35193548387096,52.58,1704.285,0.755,3363.61,0.0
Jharkhand,2024,11,24.110333333333333,13.693,77.73933333333333,0.02,1631.5,0.76,3177.43,0.0
Jharkhand,2024,12,22.200000000000003,10.64,72.14967741935483,4.56,1535.63,0.76,2985.93,0.0
Jharkhand,2025,1,19.74,5.1,68.86,0.0,1654.43,0.76,3230.48,0.0
